URL,cluster,Group,is_treatment
https://x.com/100_strim14410/status/1996123651893006802,0,Treatment,1
https://x.com/1841960akis/status/1999099887221084430,0,Control,0
https://x.com/1841960akis/status/1999100695257952301,0,Treatment,1
https://x.com/1MikeFairclough/status/2003083991738421562,0,Treatment,1
https://x.com/2cnlkh68/status/2005124609579090113,0,Control,0
https://x.com/4Anstey/status/2005220254763635082,0,Control,0
https://x.com/561cdc/status/1997549581769511113,2,Control,0
https://x.com/5990HSD/status/2000502761490882911,2,Treatment,1
https://x.com/6MrGregory/status/1997611868651983118,0,Treatment,1
https://x.com/88_Web3_ROBBIE/status/2003406173018771923,0,Treatment,1
https://x.com/A1BBQSauce/status/2002947202868711525,2,Treatment,1
https://x.com/ABridgen/status/1997614452833739074,0,Control,0
https://x.com/AJOPersonal/status/1997900815726502012,0,Control,0
https://x.com/AJOPersonal/status/2002609603096281445,2,Treatment,1
https://x.com/ALateralis/status/2008096714255650931,2,Treatment,1
https://x.com/ANT159694954/status/1996170150890950894,0,Treatment,1
https://x.com/ANT159694954/status/2001649441544245258,2,Treatment,1
https://x.com/AShelley73948/status/1995802876552032463,0,Control,0
https://x.com/AShelley73948/status/1995803953309552900,0,Treatment,1
https://x.com/AbdalQaim/status/2003360082193731896,2,Treatment,1
https://x.com/Abhi_is_great/status/2000546077808996795,0,Treatment,1
https://x.com/Abhi_is_great/status/2001225766575718573,0,Control,0
https://x.com/Abhinav131426/status/2005946412538736704,0,Treatment,1
https://x.com/Abraham02782754/status/2002591400475623839,2,Control,0
https://x.com/Abraham02782754/status/2005261340638937363,2,Treatment,1
https://x.com/AceBlitzz/status/1996123580485038482,2,Control,0
https://x.com/AdinBuck/status/2000543986180866106,0,Treatment,1
https://x.com/Agent_00PL/status/2001275819306459530,0,Control,0
https://x.com/AlPriest420/status/2001644826572550459,2,Control,0
https://x.com/AleksanderDroz4/status/1995770324319707213,0,Control,0
https://x.com/AlexGeo82372439/status/2008462736141750746,2,Treatment,1
https://x.com/AlexMalejewicz/status/2006285637662732603,0,Control,0
https://x.com/Alex_Oloyede2/status/2000183428495614156,1,Control,0
https://x.com/AlexanderTheNo7/status/2000518709140488281,2,Treatment,1
https://x.com/Alfreddezayas/status/2000881367513530800,0,Treatment,1
https://x.com/AlternatNews/status/2000880358938874123,0,Control,0
https://x.com/AmicusCuri99068/status/2000563051784007822,1,Control,0
https://x.com/Amstel66/status/2005877740390555840,2,Treatment,1
https://x.com/An89390Anglo/status/2003084708264198629,2,Treatment,1
https://x.com/An89390Anglo/status/2003407491854664097,0,Control,0
https://x.com/Andjela_Sipovac/status/1997986635401826640,1,Control,0
https://x.com/Andjela_Sipovac/status/2001242216686121423,0,Control,0
https://x.com/Andjela_Sipovac/status/2001268642315726852,2,Control,0
https://x.com/Andjela_Sipovac/status/2004153292319072567,0,Control,0
