metric,param,mwu_p,mwu_r,median_diff,ci_lo,ci_hi,n_t,n_c,reg_coef,reg_se,reg_p,reg_n,mwu_p_fdr,reg_p_fdr,reg_sig,mwu_sig
Views,first_window_share,0.6643000662919432,-0.01458559410041893,0.0034843205574912606,-0.03431453406889929,0.025871934589691177,588,583,0.02632105989244347,0.012156066746952418,0.030569625732117127,1171,0.8541000852324984,0.5502532631781083,,
Views,half_life_day,0.002808377227278989,0.0463413495758509,0.0,0.0,0.0,588,583,-0.0757299076604224,0.04635516852482722,0.10259376350545495,1171,0.050550790091021806,0.6155625810327298,,.
Views,late_window_share,0.2186048658736054,-0.036679852043733474,0.0,0.0,0.0,588,583,-0.0025233290040879344,0.00678371281726261,0.709983607977589,1171,0.5501597766003292,0.7517473496233296,,
Views,mean_accum_day,0.33620875236686787,-0.032321676526528176,0.058600887496736975,-0.02498718159590323,0.1333333333333333,588,583,-0.031050810744163812,0.05896349350932758,0.5985638991510673,1171,0.5501597766003292,0.7501138939488994,,
Views,accel_index,0.208558199345668,-0.04249910490511999,0.09749575342548944,-0.11778286898995205,0.22314321798137549,588,570,0.44131982711346074,0.3145440127459261,0.16087177671520472,1158,0.5501597766003292,0.7156047638808719,,
Views,plateau_day,0.1593074593024132,-0.04239740493109756,0.0,0.0,0.0,588,583,0.07754693764452178,0.046809426412833595,0.09785839767137806,1171,0.5501597766003292,0.6155625810327298,,
Likes,first_window_share,0.9132113139997567,0.0052167257492748975,0.0,0.0,0.0,214,232,-0.017496906494069,0.02700855177920259,0.5174315512486236,446,0.924916945123268,0.7501138939488994,,
Likes,half_life_day,0.3250011517520037,-0.023424911376087598,0.0,0.0,0.0,214,232,0.08196106388995081,0.08127255472067824,0.31377861559056663,446,0.5501597766003292,0.7501138939488994,,
Likes,late_window_share,0.421702978803178,-0.024129874315178768,0.0,0.0,0.0,214,232,-0.00035609693359697943,0.013326725759722963,0.9786946853039888,446,0.632554468204767,0.9786946853039888,,
Likes,mean_accum_day,0.924916945123268,-0.0045520464067032584,0.0,0.0,0.0,214,232,0.06451123481342638,0.09417783750285268,0.4937060752529183,446,0.924916945123268,0.7501138939488994,,
Likes,accel_index,0.8533228031274953,0.008842823405930234,0.0,0.0,0.0,185,206,0.19210887397748933,0.23801330924931546,0.42008320134410915,391,0.924916945123268,0.7501138939488994,,
Likes,plateau_day,0.4925398668446711,0.029104898485336816,0.0,0.0,0.0,214,232,-0.03143814308687584,0.04950616815425497,0.5257335205619194,446,0.6819782771695446,0.7501138939488994,,
Shares,first_window_share,0.33107850458738275,0.07274412139464848,0.0,-0.038461538461538436,0.0,89,97,-0.02331936050049118,0.054069340318559096,0.666767905732355,186,0.5501597766003292,0.7501138939488994,,
Shares,half_life_day,0.9016961755281928,-0.006834240704274297,0.0,0.0,0.0,89,97,0.08511391208189775,0.18462268712181765,0.6453349498287847,186,0.924916945123268,0.7501138939488994,,
Shares,late_window_share,0.04834761158038306,-0.10448279856365117,0.0,0.0,0.0,89,97,0.013148438795190308,0.030161761313191357,0.6634007811483398,186,0.29008566948229836,0.7501138939488994,,
Shares,mean_accum_day,0.24714177124152892,-0.09023514421406231,0.10000000000000009,0.0,0.22222222222222232,89,97,0.184165776888664,0.23329699820242758,0.4308970262424997,186,0.5501597766003292,0.7501138939488994,,
Shares,accel_index,0.01616578686913866,-0.18121968121968113,0.0,0.0,0.0,74,78,0.5352668704568814,0.45231234842115997,0.23853492129362394,152,0.14549208182224793,0.7156047638808719,,
Shares,plateau_day,0.09546444379354609,-0.11583458820803894,0.0,0.0,0.0,89,97,0.1014461943779166,0.07946520758234743,0.2033570740476201,186,0.4295899970709574,0.7156047638808719,,
